website,logo,favicon
"0,0.html","//bi.im-g.pl/im/47/b2/e8/z15249991q,logo-publio.jpg",https://static.im-g.pl/img/gazeta.ico
www.solutotlv.com,https://uploads-ssl.webflow.com/571734e409ecd16b4dd3c96f/5f9989d65cb67a1b7bd10c82_logo.svg,https://uploads-ssl.webflow.com/571734e409ecd16b4dd3c96f/5fa188769eef5ac7af4af11d_soluto_favicon.png
www.livedoor.com,https://static.blogos.com/media/img/431417/ref_m.jpg,/img/ie9/favicon.ico
www.tinydeal.com,,
www.benchmarkemail.com,https://www.benchmarkemail.com/wp-content/uploads/2019/09/benchmark-logo.svg,
www.cakemail.com,https://www.cakemail.com/wp-content/themes/cakemail/assets/images/cakelogo_gray.png,https://www.cakemail.com/wp-content/themes/cakemail/assets/dist/images/favicon-16x16.png
www.adblade.com,/images/design/adblade/logo.png,/favicon/adblade.ico
www.backupify.com,/template-img/company-logos/o365.svg,
radaris.com,/img/logo.png,/img/favicons/apple-touch-icon.png
www.vodafone.com,,/favicon/favicon.ico
www.ebizautos.com,https://www.ebizautos.com/wp-content/uploads/2019/10/logo-ebizautos-dark.png,https://www.ebizautos.com/wp-content/uploads/2019/09/favicon-regular.png
www.marchex.com,https://www.marchex.com/wp-content/uploads/2019/01/customer_logo_carrier.png,https://www.marchex.com/wp-content/themes/marchex/images/favicon.png
www.liquidweb.com,https://www.liquidweb.com/wp-content/uploads/2020/04/teamnokidhungry-logo.png.pagespeed.ce.avljb76ehu.png,https://liquidweb-13adf.kxcdn.com/apple-touch-icon.png.pagespeed.ce.7a5ldg5ya7.png
www.liferay.com,,/apple-touch-icon.png
www.brighttalk.com,https://www.brighttalk.com/wp-content/themes/brighttalk-theme/assets/images/brighttalk-logo.svg,
www.scorebig.com,/images/shopper-approved-logo.png,
en.html,/content/dam/digicel/digicel-redesign/markets/jm/footer/digicel-footer-logo.png,
www.consumercellular.com,,https://c2j4f2d2.stackpathcdn.com/assets/favicon.ico
grasshopper.com,,//logmeincdn.azureedge.net/sc-grasshoppermedia/-/media/4ef8f9b63d854f798724c9490683b52b.ico
www.012global.com,,https://www.012global.com/account/slices/favicon.ico
www.test.com,,
www.ciena.com,https://www.ciena.com/includes/prx-logo.svg,https://media.ciena.com/designimages/prx-apple-touch-icon.png?v=ngg3gxeaeo
www.mailjet.com,https://www.mailjet.com//wp-content/uploads/logo-testimonial-happn-2x.png,https://www.mailjet.com/wp-content/themes/mailjet/mailjet/img/favicon_mj.ico
en,/etc.clientlibs/poly/clientlibs/clientlib-site/resources/images/poly-logo.svg,
www.demandbase.com,https://j5u7w17oqpo2qwv3k2m6lfh1-wpengine.netdna-ssl.com/wp-content/uploads/demandbase-navbar-logo.svg,https://j5u7w17oqpo2qwv3k2m6lfh1-wpengine.netdna-ssl.com/wp-content/themes/demandbase/images/meta/favicon.ico
www.thrillist.com,,/static/thrillist-fav.ico
www.solidsignal.com,https://www.solidsignal.com/solid-signal-ssp//images/solid-signal-logo.png,https://www.solidsignal.com/solid-signal-ssp/ssdcustom/img/favicon.ico
www.unitrends.com,https://25ub8m1ps9s12v24gu180svk-wpengine.netdna-ssl.com/wp-content/uploads/customer-logo-nasa.svg,https://25ub8m1ps9s12v24gu180svk-wpengine.netdna-ssl.com/wp-includes/css/dashicons.min.css?ver=5.6.1
localedge.com,/wp-content/themes/wordpress-bootstrap-master/images/logo.png,
www.singtel.com,,/content/dam/singtel/standard/favicon.ico
www.dialmycalls.com,,https://www.dialmycalls.com/wp-content/themes/dialmycalls/assets/images/favicon.ico
discover.hubpages.com,,https://images.saymedia-content.com/.image/mtc2mzk4nzyzndeymty5otax/_favicon-512-1.svg
